name,latitude,longitude,address,star_rating,detail_url
"Delfino Blu Hotel in Agios Stefanos Avliotes, Corfu",39.75687374887841,19.644466638565063,"Corfu, Agios Stefanos Avliotes",4,https://www.greeka.com/ionian/corfu/hotels/location-agios-stefanos-avliotes/delfino-blu/
"Oceanis Apartments in Barbati, Corfu",39.72266511339484,19.881632924079895,"Corfu, Barbati",,https://www.greeka.com/ionian/corfu/hotels/location-barbati/oceanis/
"Fedra Mare Apartments in Agios Stefanos Avliotes, Corfu",39.75358454392243,19.638726346254458,"Corfu, Agios Stefanos Avliotes",,https://www.greeka.com/ionian/corfu/hotels/location-agios-stefanos-avliotes/fedra-mare/
"Spiti Nikos Apartments in Danilia, Corfu",39.638282,19.837331,"Corfu, Danilia",,https://www.greeka.com/ionian/corfu/hotels/location-danilia/spiti-nikos/
"Stevens on the Hill Apartments in Agios Gordios, Corfu",39.545129576886474,19.85351800918579,"Corfu, Agios Gordios",,https://www.greeka.com/ionian/corfu/hotels/location-agios-gordios/stevens-on-the-hill/
"Siora Vittoria Boutique Hotel in Town, Corfu",39.622526,19.921493,"Corfu, Town",4,https://www.greeka.com/ionian/corfu/hotels/location-town/siora-vittoria/
"Kairaba Mythos Palace Hotel in Kouspades, Corfu",39.46071,19.966194,"Corfu, Kouspades",,https://www.greeka.com/ionian/corfu/hotels/location-kouspades/kairaba/
"Porta Spilea Apartments in Town, Corfu",39.625811,19.919514,"Corfu, Town",,https://www.greeka.com/ionian/corfu/hotels/location-town/porta-spilea/
"Dreams Resort & Spa Hotel in Gouvia, Corfu",39.65078121740967,19.84296016395092,"Corfu, Gouvia",4,https://www.greeka.com/ionian/corfu/hotels/location-gouvia/dreams/
"Grecotel Eva Palace Hotel in Kommeno, Corfu",39.667094996809794,19.856158643960953,"Corfu, Kommeno",,https://www.greeka.com/ionian/corfu/hotels/location-kommeno/grecotel-eva-palace/
"Grecotel Daphnila Bay Hotel in Dassia, Corfu",39.666129,19.84919,"Corfu, Dassia",4,https://www.greeka.com/ionian/corfu/hotels/location-dassia/grecotel-daphnila-bay/
"Grecotel Imperial Hotel in Kommeno, Corfu",39.666361104522814,19.860763996839523,"Corfu, Kommeno",,https://www.greeka.com/ionian/corfu/hotels/location-kommeno/grecotel-imperial/
"Ikos Dassia Hotel in Dassia, Corfu",39.67798064916928,19.839677810668945,"Corfu, Dassia",4,https://www.greeka.com/ionian/corfu/hotels/location-dassia/ikos-dassia/
"Aeolos Beach Hotel in Perama, Corfu",39.567422,19.908127,"Corfu, Perama",4,https://www.greeka.com/ionian/corfu/hotels/location-perama/aeolos-beach/
"Akrotiri Beach Hotel in Paleokastritsa, Corfu",39.672973905998255,19.716519489884377,"Corfu, Paleokastritsa",4,https://www.greeka.com/ionian/corfu/hotels/location-paleokastritsa/akrotiri-beach/
"Divani Palace Hotel in Town, Corfu",39.59846835359944,19.922293201088905,"Corfu, Town",4,https://www.greeka.com/ionian/corfu/hotels/location-town/divani-palace/
"Angsana Resort & Spa Hotel in Benitses, Corfu",39.553416,19.909083,"Corfu, Benitses",,https://www.greeka.com/ionian/corfu/hotels/location-benitses/angsana/
"Acanthus Blue Hotel in Town, Corfu",39.612799,19.919928,"Corfu, Town",,https://www.greeka.com/ionian/corfu/hotels/location-town/acanthus-blue/
"Mayor Pelekas Monastery Hotel in Pelekas, Corfu",39.583221,19.820893,"Corfu, Pelekas",,https://www.greeka.com/ionian/corfu/hotels/location-pelekas/mayor-pelekas-monastery/
"Holiday Palace Hotel in Kanoni Kassiopi, Corfu",39.591575488537345,19.9185997992754,"Corfu, Kanoni Kassiopi",,https://www.greeka.com/ionian/corfu/hotels/location-kanoni-kassiopi/holiday-palace/
"Corfu Palace Hotel in Town, Corfu",39.61926483668208,19.92288865149021,"Corfu, Town",,https://www.greeka.com/ionian/corfu/hotels/location-town/corfu-palace/
"Elea Hotel in Dassia, Corfu",39.68406979655199,19.84098806977272,"Corfu, Dassia",4,https://www.greeka.com/ionian/corfu/hotels/location-dassia/elea/
"Paleo ArtNouveau Hotel in Paleokastritsa, Corfu",39.67430972673714,19.71818581223488,"Corfu, Paleokastritsa",4,https://www.greeka.com/ionian/corfu/hotels/location-paleokastritsa/paleo-artnouveau/
